"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.controller.js", "JavaScript", 134, 5, 20, 159
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.routes.js", "JavaScript", 31, 5, 10, 46
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.schema.js", "JavaScript", 14, 2, 2, 18
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.service.js", "JavaScript", 229, 10, 28, 267
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/regions/regions.controller.js", "JavaScript", 107, 5, 20, 132
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/regions/regions.routes.js", "JavaScript", 47, 5, 9, 61
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/regions/regions.schema.js", "JavaScript", 14, 0, 2, 16
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/regions/regions.service.js", "JavaScript", 125, 5, 19, 149
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/roles/roles.controller.js", "JavaScript", 107, 5, 20, 132
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/roles/roles.routes.js", "JavaScript", 47, 5, 11, 63
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/roles/roles.schema.js", "JavaScript", 14, 0, 2, 16
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/roles/roles.service.js", "JavaScript", 110, 5, 19, 134
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/userPhotos/userPhotos.controller.js", "JavaScript", 95, 4, 16, 115
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/userPhotos/userPhotos.routes.js", "JavaScript", 33, 4, 7, 44
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/userPhotos/userPhotos.schema.js", "JavaScript", 4, 0, 1, 5
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/userPhotos/userPhotos.service.js", "JavaScript", 72, 4, 12, 88
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/villes/villes.controller.js", "JavaScript", 132, 6, 24, 162
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/villes/villes.routes.js", "JavaScript", 53, 6, 12, 71
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/villes/villes.schema.js", "JavaScript", 16, 0, 2, 18
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/villes/villes.service.js", "JavaScript", 172, 6, 27, 205
"/Users/loucadaviot/Desktop/studentswap/backend/src/routes/index.routes.js", "JavaScript", 10, 0, 0, 10
"Total", "-", 1566, 82, 263, 1911
